,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
1593,16839858.0,23000000.0,La Jolla,32.859627,-117.2485,9.0,6.0,8218.0,0.4595959595959596,acres,8.520416666666666,20020.0
1594,16932604.0,1100000.0,San Diego,32.791454,-117.12309,3.0,3.0,1966.0,6000.0,sqft,3.4971875,6000.0
1595,16976884.0,779000.0,San Diego,32.741997,-117.10756,1.0,2.0,880.0,4356.0,sqft,4.51380787037037,4356.0
1596,16982793.0,950000.0,San Diego,32.79865,-117.00745,2.0,4.0,1443.0,5400.0,sqft,3.0531597222222224,5400.0
1597,16766477.0,2029000.0,Del Mar,32.934418,-117.24435,3.0,3.0,2150.0,5489.0,sqft,2.3372337962962964,5489.0
1598,17192180.0,1295000.0,San Diego,32.842236,-117.2015,3.0,5.0,2157.0,6098.4,sqft,6.723726851851852,6098.4
1599,16848065.0,6298000.0,La Jolla,32.847664,-117.26722,6.0,4.0,4219.0,6098.4,sqft,132.7212152777778,6098.4
1600,16786095.0,899000.0,San Diego,32.90692,-117.14078,2.0,3.0,1441.0,5227.2,sqft,5.413298611111111,5227.2
1601,17014886.0,699000.0,San Diego,32.744354,-117.06294,1.0,2.0,780.0,6534.0,sqft,30.4971875,6534.0
1603,17190890.0,2395000.0,San Diego,32.84897,-117.22626,4.0,4.0,2728.0,0.27,acres,13.4971875,11761.2
1606,60281449.0,1999999.0,San Diego,33.00614,-117.115524,3.0,5.0,3273.0,5900.0,sqft,104.52524305555555,5900.0
1611,112747277.0,2725000.0,San Diego,32.970066,-117.182625,3.0,4.0,2993.0,5662.8,sqft,19.865381944444444,5662.8
1612,17194680.0,1245000.0,San Diego,32.80246,-117.07745,2.0,4.0,1369.0,10018.8,sqft,0.5501041666666666,10018.8
1613,16922145.0,2650000.0,San Diego,32.785843,-117.23444,3.0,4.0,1926.0,5227.2,sqft,40.70736111111111,5227.2
1614,122142380.0,2475000.0,San Diego,32.96615,-117.17501,4.0,4.0,3138.0,6969.6,sqft,5.4971875,6969.6
