,price,bed,bath,lot_sqft,lot_living,lat,long,income,poverty,unemployment,bachelor,rent,area_home_value,owner_occ,pop_density,risk_fire,risk_earthquake,risk_heat,dist_city,dist_airport,dist_coast
3795,26000000.0,5.0,7.0,16230.456,7024.0,34.034214,-118.85275,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,56.15218259770332,42.23372070669809,33.35903814045626
3796,17900000.0,6.0,9.0,143669.592,9351.0,34.029003,-118.820595,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,53.21804990344867,39.2187557486562,30.37494545415231
3797,3295000.0,2.0,3.0,44169.84,2002.0,34.06552,-118.64218,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,36.73821034570881,25.571021966622343,14.822434044049206
3798,2960000.0,3.0,3.0,99752.4,2397.0,34.02137,-118.799515,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,51.33009093136387,37.128596118923326,28.415898066698706
3799,16450000.0,4.0,6.0,23526.756,4200.0,34.024277,-118.7838,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,49.86334334572029,35.80428974909787,26.97157095521621
3800,2799000.0,5.0,5.0,150282.0,4672.0,34.09125,-118.97937,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,67.89918261956225,55.18398414252915,45.67469477878912
3802,15650000.0,5.0,5.0,8267.688,3029.0,34.032394,-118.68676,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,40.88242326190996,27.57026650597132,18.07910839126215
3803,5995000.0,5.0,6.0,22106.700000000004,5008.0,34.04105,-118.68901,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,41.047007856295366,28.126494556645437,18.385416293608863
3804,3695000.0,3.0,2.0,429431.904,2570.0,34.082508,-118.88188,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,58.88029912861353,46.36018036971608,36.66867953574795
3805,5945000.0,4.0,5.0,31560.0,3765.0,34.0295,-118.75667,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.33263524636291,33.55644875255696,24.49051383850547
3806,4854000.0,5.0,4.0,44561.88,3462.0,34.037533,-118.853485,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,56.20684332655116,42.39002952053012,33.44613466354198
3808,3988000.0,4.0,4.0,11800.404,3029.0,34.03572,-118.844864,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,55.41977140123169,41.570470865230064,32.641728699585194
3809,3275000.0,4.0,4.0,10846.44,3080.0,34.03864,-118.842735,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,55.212949550879614,41.46317882939099,32.46494373708526
3810,10950000.0,4.0,4.0,5052.96,4298.0,34.03527,-118.86328,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,57.11744025130768,43.203812788148376,34.33388538250654
3811,14495000.0,4.0,4.0,20608.236,3882.0,34.030994,-118.84512,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,55.46474364870539,41.465292599421424,32.641394199050346
3812,1972000.0,3.0,3.0,18865.836,2248.0,34.09175,-118.80978,169410.0,0.0536664353458246,0.0670415224913494,0.5602001766264351,2768.0,1567700.0,0.8029782359679267,62.03169047031886,99.33644893154008,95.8712377962494,30.76052242718909,52.324839055160645,40.5785458350107,30.42871442586754
3813,13250000.0,4.0,4.0,7614.288,3653.0,34.033096,-118.69026,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,41.200175845454,27.89906996792695,18.40682980542419
3814,10450000.0,5.0,5.0,7466.184,3354.0,34.02578,-118.75853,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.52858535369505,33.603656681789886,24.647106193837796
3815,6950000.0,3.0,4.0,11120.868,3434.0,34.033226,-118.728806,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,44.74667339383145,31.239812051051068,21.95000753892883
3816,14995000.0,2.0,4.0,7784.172,4358.0,34.031593,-118.71971,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.91905457149304,30.388240165618555,21.10171731761888
3817,5900000.0,4.0,3.0,11046.816,2770.0,34.050682,-118.64512,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,36.98279934517014,24.959215258291785,14.600896678343638
3818,3950000.0,3.0,3.0,28949.976,3050.0,34.035934,-118.71116,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.10830773388427,29.810770586426933,20.3525705025344
3820,9495000.0,4.0,4.0,5301.252,2890.0,34.031837,-118.68402,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,40.63386914842254,27.31260821276847,17.82258956267355
3821,4499000.0,5.0,4.0,39515.0,3653.0,34.037247,-118.71465,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.42341313566572,30.163138140670203,20.68616991817917
3822,14495000.0,7.0,9.0,81195.84000000001,10500.0,34.033623,-118.78378,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,49.80485278361776,36.08151344328998,27.00870582412889
3823,5999999.0,4.0,3.0,26981.064,3650.0,34.035538,-118.71223,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.20877387628884,29.88777627551232,20.446939542726646
3824,4650000.0,3.0,3.0,62939.844000000005,3377.0,34.03496,-118.824646,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,53.56120173184061,39.74725149271604,30.776862985008385
3826,8995000.0,5.0,6.0,21658.032,3524.0,34.01662,-118.79614,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,51.05943094580966,36.703827437571725,28.10669924494627
3827,15995000.0,4.0,6.0,11016.324,5136.0,34.035507,-118.860214,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,56.83415637660294,42.93587295421679,34.05302974531576
3830,7100000.0,4.0,4.0,189590.544,4013.0,34.093414,-118.86468,169410.0,0.0536664353458246,0.0670415224913494,0.5602001766264351,2768.0,1567700.0,0.8029782359679267,62.03169047031886,99.33644893154008,95.8712377962494,30.76052242718909,57.37908018395977,45.306508967402834,35.37432402415428
3831,6950000.0,3.0,3.0,71590.86,2758.0,34.015648,-118.8003,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,51.45033749112088,37.05350902522145,28.491664833877
3832,7299000.0,6.0,6.0,29816.82,5913.0,34.03066,-118.756485,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.30858529468887,33.57773728117564,24.479514875810302
3833,8500000.0,5.0,5.0,181592.928,5182.0,34.040634,-118.859856,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,56.7837023368937,43.044946023984814,34.0536454502903
3834,16000000.0,3.0,5.0,6590.628,5083.0,34.026024,-118.75658,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.34750933022889,33.43857806980602,24.468220616530697
